UAI;Nom_lycee;taux_poursuite_etude
0020034B;LYCEE POLYVALENT PIERRE MECHAIN;33
0020048S;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MARTIN;53
0020048S;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MARTIN;40
0020048S;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MARTIN;36
0020048S;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MARTIN;46
0020049T;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE DE LA RAMEE;36
0020049T;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE DE LA RAMEE;26
0020049T;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE DE LA RAMEE;25
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET;43
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET LYCEE DES METIERS;43
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET;48
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET LYCEE DES METIERS;48
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET;35
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET LYCEE DES METIERS;35
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET LYCEE DES METIERS;40
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET;40
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET LYCEE DES METIERS;41
0020050U;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE CONDORCET;41
0020051V;LYCEE PROFESSIONNEL D ART LYCEE DES METIERS;69
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS;69
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS DE L AMEUBLEMENT;69
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS;67
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS DE L AMEUBLEMENT;67
0020051V;LYCEE PROFESSIONNEL D ART LYCEE DES METIERS;67
0020051V;LYCEE PROFESSIONNEL D ART LYCEE DES METIERS;64
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS DE L AMEUBLEMENT;64
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS;64
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS DE L AMEUBLEMENT;68
0020051V;LYCEE PROFESSIONNEL D ART LYCEE DES METIERS;68
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS;68
0020051V;LYCEE PROFESSIONNEL D ART LYCEE DES METIERS;62
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS DE L AMEUBLEMENT;62
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS;62
0020051V;LYCEE PROFESSIONNEL D ART LYCEE DES METIERS;48
0020051V;LYCEE PROFESSIONNEL D ART LYCEE DES METIERS;65
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS DE L AMEUBLEMENT;48
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS;48
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS;65
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS DE L AMEUBLEMENT;65
0020051V;LYCEE PROFESSIONNEL D ART LYCEE DES METIERS;45
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS DE L AMEUBLEMENT;45
0020051V;LYCEE PROFESSIONNEL DE L AMEUBLEMENT LYCEE DES METIERS;45
