region;Nom_lycee;IPS_voie_pro
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU GRESIVAUDAN;112.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU GRESIVAUDAN;118.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU GRESIVAUDAN;119.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU GRESIVAUDAN;124.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD BRANLY;93.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD BRANLY;95
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD BRANLY;95.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD BRANLY;96.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD BRANLY LYCEE DES METIERS DE L ENERGIE DE LA LUMIERE ET DU NUMERIQUE;93.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD BRANLY LYCEE DES METIERS DE L ENERGIE DE LA LUMIERE ET DU NUMERIQUE;95
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD BRANLY LYCEE DES METIERS DE L ENERGIE DE LA LUMIERE ET DU NUMERIQUE;95.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD BRANLY LYCEE DES METIERS DE L ENERGIE DE LA LUMIERE ET DU NUMERIQUE;96.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD HERRIOT;89
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD HERRIOT;90.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD HERRIOT;91.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EDOUARD HERRIOT;91.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ELIE CARTAN LYCEE DES METIERS DES EQUIPEMENTS INDUSTRIELS ET DU TEXTILE;90.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ELIE CARTAN LYCEE DES METIERS DES EQUIPEMENTS INDUSTRIELS ET DU TEXTILE;91.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ELIE CARTAN LYCEE DES METIERS DES EQUIPEMENTS INDUSTRIELS ET DU TEXTILE;95.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ELIE CARTAN LYCEE DES METIERS DES EQUIPEMENTS INDUSTRIELS ET DU TEXTILE;95.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ELLA FITZGERALD;86.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ELLA FITZGERALD;88.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ELLA FITZGERALD;89
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ELLA FITZGERALD;89.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EMMANUEL CHABRIER;88.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EMMANUEL CHABRIER;89.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EMMANUEL CHABRIER;92.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EMMANUEL CHABRIER;92.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EMMANUEL MOUNIER;80.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EMMANUEL MOUNIER;82.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EMMANUEL MOUNIER (A ABSORBE L'UAI 0380037J EN 2020);80.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT EMMANUEL MOUNIER (A ABSORBE L'UAI 0380037J EN 2020);82.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FERDINAND BUISSON;98.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FERDINAND BUISSON;98.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FERDINAND BUISSON;99.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FERDINAND BUISSON;100.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS JEAN ARMORIN;77.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS JEAN ARMORIN;80.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS JEAN ARMORIN;81
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS JEAN ARMORIN;82.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS MANSART;67.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS MANSART;71.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS MANSART;73.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS MANSART;75.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS RABELAIS;96.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS RABELAIS;97.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS RABELAIS;98.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FRANCOIS RABELAIS;99.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FREDERIC FAYS LYCEE DES METIERS DES TECHNIQUES DE CONCEPTION ET DE PRODUCTION;74.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FREDERIC FAYS LYCEE DES METIERS DES TECHNIQUES DE CONCEPTION ET DE PRODUCTION;76.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FREDERIC FAYS LYCEE DES METIERS DES TECHNIQUES DE CONCEPTION ET DE PRODUCTION;78
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT FREDERIC FAYS LYCEE DES METIERS DES TECHNIQUES DE CONCEPTION ET DE PRODUCTION;81.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GABRIEL FAURE LYCEE DES METIERS DU COMMERCE ET DES SERVICES;81.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GABRIEL FAURE LYCEE DES METIERS DU COMMERCE ET DES SERVICES;82.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GABRIEL FAURE LYCEE DES METIERS DU COMMERCE ET DES SERVICES;85.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GABRIEL FAURE LYCEE DES METIERS DU COMMERCE ET DES SERVICES;86
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GALILEE LYCEE DES METIERS DE LA CHIMIE;83.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GALILEE LYCEE DES METIERS DE LA CHIMIE;84.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GALILEE LYCEE DES METIERS DE LA CHIMIE;85
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GALILEE LYCEE DES METIERS DE LA CHIMIE;85.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GALILEE LYCEE DES METIERS DE LA CHIMIE (A ABSORBE L'UAI 0380100C EN 2017);83.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT GALILEE LYCEE DES METIERS DE LA CHIMIE (A ABSORBE L'UAI 0380100C EN 2017);84.8
