UAI;Nom_lycee;taux_de_reussite
0940118T;LPO LOUIS ARMAND LYC MET TELECOMMUNICATIONS RESEAUX INFORMATIQUES ELECTRICITE ET SES APPLICATIONS CO;83
0940118T;LPO LOUIS ARMAND LYC MET TELECOMMUNICATIONS RESEAUX INFORMATIQUES ELECTRICITE ET SES APPLICATIONS CO;90
0940118T;LPO LOUIS ARMAND LYC MET TELECOMMUNICATIONS RESEAUX INFORMATIQUES ELECTRICITE ET SES APPLICATIONS CO;85
0940118T;LPO LOUIS ARMAND LYC MET TELECOMMUNICATIONS RESEAUX INFORMATIQUES ELECTRICITE ET SES APPLICATIONS CO;77
0671509B;LPO LYCEE DES METIERS ALPHONSE HEINRICH NESSEL;79
0671509B;LPO LYCEE DES METIERS ALPHONSE HEINRICH NESSEL;80
0671509B;LPO LYCEE DES METIERS ALPHONSE HEINRICH NESSEL;71
0671509B;LPO LYCEE DES METIERS ALPHONSE HEINRICH NESSEL;75
0671509B;LPO LYCEE DES METIERS HEINRICH NESSEL;71
0671509B;LPO LYCEE DES METIERS HEINRICH NESSEL;75
0671509B;LPO LYCEE DES METIERS HEINRICH NESSEL;79
0671509B;LPO LYCEE DES METIERS HEINRICH NESSEL;80
0442094M;LPO NICOLAS APPERT LYC MET DE L HOTELLERIE RESTAURATION LYC MET DE L INGENIERIE INDUSTRIELLE;95
0442094M;LPO NICOLAS APPERT LYC MET DE L HOTELLERIE RESTAURATION LYC MET DE L INGENIERIE INDUSTRIELLE;97
0442094M;LPO NICOLAS APPERT LYC MET DE L HOTELLERIE RESTAURATION LYC MET DE L INGENIERIE INDUSTRIELLE;89
0391092A;LPO PAUL EMILE VICTOR LYCEE DES METIERS SANITAIRE ET SOCIAL;89
0391092A;LPO PAUL EMILE VICTOR LYCEE DES METIERS SANITAIRE ET SOCIAL;90
0391092A;LPO PAUL EMILE VICTOR LYCEE DES METIERS SANITAIRE ET SOCIAL;82
0391092A;LPO PAUL EMILE VICTOR LYCEE DES METIERS SANITAIRE ET SOCIAL;95
0720822C;LPO PRIVE SAINTE CATHERINE LYC MET DE L HOTELLERIE RESTAURATION ET DE LA BOULANGERIE PATISSERIE LYC ;95
0720822C;LPO PRIVE SAINTE CATHERINE LYC MET DE L HOTELLERIE RESTAURATION ET DE LA BOULANGERIE PATISSERIE LYC ;93
0871030X;LPO PUBLIC JEAN MONNET LYC MET DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;89
0871030X;LPO PUBLIC JEAN MONNET LYC MET DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;95
0871030X;LPO PUBLIC JEAN MONNET LYC MET DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;96
0871030X;LPO PUBLIC JEAN MONNET LYC MET DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;85
0190018S;LPO PUBLIC PIERRE CARAMINOT LYCEE DES METIERS DU GENIE CIVIL;81
0190018S;LPO PUBLIC PIERRE CARAMINOT LYCEE DES METIERS DU GENIE CIVIL;82
0190018S;LPO PUBLIC PIERRE CARAMINOT LYCEE DES METIERS DU GENIE CIVIL;98
0190018S;LPO PUBLIC PIERRE CARAMINOT LYCEE DES METIERS DU GENIE CIVIL;100
9760316P;LPO TANI MALANDI;57
9760316P;LPO TANI MALANDI;92
9760316P;LPO TANI MALANDI;70
9760316P;LPO TANI MALANDI;68
0390027T;LPO VICTOR BERARD LYCEE DES METIERS DE L OPTIQUE ET DES MICROTECHNIQUES;89
0390027T;LPO VICTOR BERARD LYCEE DES METIERS DE L OPTIQUE ET DES MICROTECHNIQUES;95
0390027T;LPO VICTOR BERARD LYCEE DES METIERS DE L OPTIQUE ET DES MICROTECHNIQUES;88
0840016L;LPO VICTOR HUGO (A ABSORBE L'UAI 0840044S EN 2021);83
0840016L;LPO VICTOR HUGO (A ABSORBE L'UAI 0840044S EN 2021);85
0132210G;LYCÃE POLYVALENT JEAN LURÃAT (A ABSORBE L'UAI 0132211H EN 2021);90
0132210G;LYCÃE POLYVALENT JEAN LURÃAT (A ABSORBE L'UAI 0132211H EN 2021);88
0132410Z;LYCÃE POLYVALENT MAURICE GENEVOIX (A ABSORBE L'UAI 0132319A EN 2021);90
0132410Z;LYCÃE POLYVALENT MAURICE GENEVOIX (A ABSORBE L'UAI 0132319A EN 2021);87
573211,00 F;LYCEE ANDRE CITROEN LYCEE DES METIERS DE L AUTOMOBILE;86
573211,00 F;LYCEE ANDRE CITROEN LYCEE DES METIERS DE L AUTOMOBILE;80
573211,00 F;LYCEE ANDRE CITROEN LYCEE DES METIERS DE L AUTOMOBILE;88
573211,00 F;LYCEE ANDRE CITROEN LYCEE DES METIERS DE L AUTOMOBILE;76
0880153N;LYCEE ANDRE MALRAUX LYCEE DES METIERS FILIERE BOIS;76
0880153N;LYCEE ANDRE MALRAUX LYCEE DES METIERS FILIERE BOIS;95
0880153N;LYCEE ANDRE MALRAUX LYCEE DES METIERS FILIERE BOIS;71
0880153N;LYCEE ANDRE MALRAUX LYCEE DES METIERS FILIERE BOIS;77
0711322B;LYCEE CAMILLE DU GAST THOMAS DUMOREY;80
0711322B;LYCEE CAMILLE DU GAST THOMAS DUMOREY;87
0570087K;LYCEE CHARLES JULLY LYCEE DES METIERS ET DES TECHNOLOGIES INNOVANTES;83
0570087K;LYCEE CHARLES JULLY LYCEE DES METIERS ET DES TECHNOLOGIES INNOVANTES;82
0660057D;LYCEE CLIMATIQUE ET SPORTIF PIERRE DE COUBERTIN;92
0660057D;LYCEE CLIMATIQUE ET SPORTIF PIERRE DE COUBERTIN;100
0573231C;LYCEE CONDORCET LYCEE DES METIERS DES SCIENCES ET DES TECHNOLOGIES DE L INFORMATION ET DE LA COMMUNI;87
0573231C;LYCEE CONDORCET LYCEE DES METIERS DES SCIENCES ET DES TECHNOLOGIES DE L INFORMATION ET DE LA COMMUNI;92
0573231C;LYCEE CONDORCET LYCEE DES METIERS DES SCIENCES ET DES TECHNOLOGIES DE L INFORMATION ET DE LA COMMUNI;91
801900,00 F;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DE L AUTHIE;86
801900,00 F;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DE L AUTHIE;82
801900,00 F;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DE L AUTHIE LYCEE DES METIERS;82
801900,00 F;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DE L AUTHIE LYCEE DES METIERS;86
0801864S;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DU VIMEU LYCEE DES METIERS DE L INDUSTRIE ET DU TERTIA;82
0801864S;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DU VIMEU LYCEE DES METIERS DE L INDUSTRIE ET DU TERTIA;94
0801864S;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DU VIMEU LYCEE DES METIERS DE L INDUSTRIE ET DU TERTIA;87
0801864S;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DU VIMEU LYCEE DES METIERS DE L INDUSTRIE ET DU TERTIA;78
0400080V;LYCEE D ENSEIGNEMENT PROFESSIONNEL JEAN CASSAIGNE;92
0400080V;LYCEE D ENSEIGNEMENT PROFESSIONNEL JEAN CASSAIGNE;91
0400080V;LYCEE D ENSEIGNEMENT PROFESSIONNEL JEAN CASSAIGNE;100
0400080V;LYCEE D ENSEIGNEMENT PROFESSIONNEL JEAN CASSAIGNE;93
0132280H;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE HENRY LEROY;99
0132280H;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE HENRY LEROY;100
0132280H;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE HENRY LEROY;93
0132280H;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE HENRY LEROY;90
0132280H;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE HENRY LEROY (A ABSORBE L'UAI 0133282X EN 2018);99
0132280H;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE HENRY LEROY (A ABSORBE L'UAI 0133282X EN 2018);100
0132280H;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE HENRY LEROY (A ABSORBE L'UAI 0133282X EN 2018);93
