Année;UAI;Libellé;Région;Niveau formation;Taux interruption formation;Taux poursuite études;Taux emploi 6 mois;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois
cumul 2018-2019;0300112J;Lycée polyvalent privé de la CCI, lycée des métiers de la vente et des services aux entreprises;OCCITANIE;BTS;32.0;36.0;45.0;56.0;47.0;62.0
cumul 2018-2019;0300950V;Lycée polyvalent Albert Einstein;OCCITANIE;CAP;56.0;46.0;31.0;33.0;29.0;38.0
cumul 2018-2019;0301499S;Lycée polyvalent privé d'Alzon Saint Felix;OCCITANIE;BAC PRO;13.0;48.0;24.0;35.0;35.0;43.0
cumul 2018-2019;0310046G;Lycée polyvalent hôtelier - Lycée des métiers de l'hôtellerie et du tourisme d'Occitanie;OCCITANIE;BTS;15.0;46.0;48.0;54.0;55.0;62.0
cumul 2018-2019;0310053P;Lycée professionnel Urbain Vitry - Lycée des métiers du bâtiment;OCCITANIE;BTS;44.0;45.0;;;;
cumul 2018-2019;0310057U;Lycée professionnel Hélène Boucher - Lycée des métiers des soins à la personne;OCCITANIE;BAC PRO;24.0;51.0;42.0;51.0;50.0;53.0
cumul 2018-2019;0311190A;Lycée professionnel privé Skhole d'Art Toulouse - Lycée des métiers de la coiffure et de l'esthétique;OCCITANIE;BAC PRO;50.0;29.0;;;;
cumul 2018-2019;0312759F;Lycée polyvalent Joseph Galliéni - Lycée des métiers de l'automobile, du transport et de la logistique;OCCITANIE;BTS;40.0;49.0;74.0;69.0;68.0;65.0
cumul 2018-2019;0312822Z;Lycée polyvalent Charles de Gaulle - Lycée des métiers de l'énergétique et de la domotique;OCCITANIE;BAC PRO;39.0;60.0;48.0;54.0;60.0;62.0
cumul 2018-2019;0320067Z;Lycée polyvalent Le Garros - Lycée des métiers du génie civil, de la production et du laboratoire;OCCITANIE;CAP;10.0;32.0;39.0;70.0;57.0;74.0
cumul 2018-2019;0330069W;Lycée professionnel La Morlette : Lycée des métiers des soins et des services à la personne;NOUVELLE-AQUITAINE;MC5;24.0;22.0;50.0;37.0;50.0;53.0
cumul 2018-2019;0331739L;Etablissement régional d'enseignement adapté de la Plaine;NOUVELLE-AQUITAINE;BAC PRO;33.0;38.0;10.0;14.0;24.0;24.0
cumul 2018-2019;0332192D;Lycée polyvalent hôtelier Tourisme Gascogne - Lycée des Métiers de l'Hôtellerie et du Tourisme;NOUVELLE-AQUITAINE;BAC PRO;32.0;47.0;56.0;61.0;57.0;62.0
cumul 2018-2019;0332192D;Lycée polyvalent hôtelier Tourisme Gascogne - Lycée des Métiers de l'Hôtellerie et du Tourisme;NOUVELLE-AQUITAINE;CAP;31.0;52.0;31.0;25.0;27.0;45.0
cumul 2018-2019;0332345V;Lycée professionnel Philadelphe de Gerde;NOUVELLE-AQUITAINE;CAP;38.0;57.0;20.0;28.0;32.0;28.0
cumul 2018-2019;0340023R;Lycée général et technologique René Gosse;OCCITANIE;BTS;42.0;32.0;38.0;56.0;44.0;47.0
cumul 2018-2019;0340030Y;Lycée polyvalent Louis Feuillade;OCCITANIE;BAC PRO;36.0;52.0;30.0;39.0;46.0;46.0
cumul 2018-2019;0340040J;Lycée polyvalent Jules Guesde;OCCITANIE;BAC PRO;44.0;77.0;29.0;19.0;32.0;42.0
cumul 2018-2019;0340992U;Lycée professionnel privé le Sacré-Coeur;OCCITANIE;CAP;;;;;;
cumul 2018-2019;0341794R;Lycée polyvalent Jean-François Champollion, Lycée des métiers de la communication et des usages du numérique;OCCITANIE;MC4;4.0;0.0;79.0;79.0;79.0;82.0
cumul 2018-2019;0350102W;Lycée professionnel Beaumont - Lycée des métiers des services - Lycée des métiers de l'industrie et de l'habitat;BRETAGNE;CAP;30.0;46.0;13.0;18.0;31.0;38.0
cumul 2018-2019;0350797B;Lycée polyvalent privé Jeanne d'Arc - Lycée des métiers du tourisme - Lycée des métiers du secteur sanitaire et de l'intervention sociale;BRETAGNE;MC4;8.0;0.0;68.0;68.0;64.0;72.0
cumul 2018-2019;0350807M;Lycée professionnel privé Notre Dame - Lycée des métiers de la restauration et du service;BRETAGNE;CAP;27.0;72.0;;;;
cumul 2018-2019;0360050J;Etablissement régional d'enseignement adapté Eric Tabarly;CENTRE-VAL DE LOIRE;CAP;41.0;30.0;15.0;13.0;11.0;15.0
cumul 2018-2019;0370040T;L.P. Albert Bayet - Lycée des métiers de l'hôtellerie restauration, de l'automobile et de la logistique et des industries graphiques et plurimédia;CENTRE-VAL DE LOIRE;BP;;;;;;
cumul 2018-2019;0371211R;Lycée professionnel Beauregard - Lycée des métiers du tertiaire, de la maintenance et de l'électrotechnique;CENTRE-VAL DE LOIRE;CAP;31.0;57.0;;;;
cumul 2018-2019;0380089R;Lycée polyvalent Portes de l'Oisans - Lycée des métiers de l'électronique et du numérique;AUVERGNE-RHONE-ALPES;BTS;19.0;39.0;78.0;55.0;65.0;72.0
cumul 2018-2019;0381738H;Lycée professionnel privé Robin;AUVERGNE-RHONE-ALPES;CAP;20.0;62.0;22.0;25.0;41.0;34.0
cumul 2018-2019;0381805F;Lycée professionnel privé Les portes de Chartreuse;AUVERGNE-RHONE-ALPES;CAP;16.0;71.0;51.0;60.0;54.0;54.0
cumul 2018-2019;0382863F;Lycée polyvalent du Grésivaudan;AUVERGNE-RHONE-ALPES;BAC PRO;4.0;74.0;;;;
cumul 2018-2019;0382863F;Lycée polyvalent du Grésivaudan;AUVERGNE-RHONE-ALPES;BTS;23.0;38.0;65.0;62.0;68.0;65.0
