UAI;Nom_lycee;IPS_voie_pro
0720033V;LPO GABRIEL TOUCHARD WASHINGTON LYC MET DE LA PROTHESE DENTAIRE LYC MET DU MANAGEMENT ET DE LA GESTI;80,9
0740013M;LPO GUILLAUME FICHET;77,3
0740013M;LPO GUILLAUME FICHET;80,7
0740013M;LPO GUILLAUME FICHET;83,4
0740013M;LPO GUILLAUME FICHET;80,9
0390033Z;LPO HYACINTHE FRIANT LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;101
0390033Z;LPO HYACINTHE FRIANT LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;104,2
0390033Z;LPO HYACINTHE FRIANT LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;101,2
0390033Z;LPO HYACINTHE FRIANT LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;104
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION LYCEE DES METIERS DES SERVICES ;69,8
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION LYCEE DES METIERS DES SERVICES ;67,2
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION LYCEE DES METIERS DES SERVICES ;67,1
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION LYCEE DES METIERS DES SERVICES ;67,3
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DU WEB LYCEE DES METIERS PREVENTION ET SECURITE LYCEE DES METIERS ;67,3
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DU WEB LYCEE DES METIERS PREVENTION ET SECURITE LYCEE DES METIERS ;67,1
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DU WEB LYCEE DES METIERS PREVENTION ET SECURITE LYCEE DES METIERS ;67,2
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DU WEB LYCEE DES METIERS PREVENTION ET SECURITE LYCEE DES METIERS ;69,8
